Area Name,Postal Code,Latitude,Longitude
Nimgiri          ,410502,19.278632,73.774997
Nimone          ,412210,18.708404,74.407127
Nimsakhar          ,413114,18.014365,74.828106
Nira R S      ,412102,18.10215,74.214236
Nirawaghaj          ,413102,18.645159,73.92576
Nirgude          ,410502,18.705268,74.264883
Nirgude          ,413130,18.705268,74.264883
Nirgudsar          ,412406,18.975906,74.0447
Nirvi          ,412210,18.648469,74.423984
Nirwangi          ,413114,18.005407,74.88903
N.W. College        ,411001,18.534508,73.879278
Ordanance Dep Talegaon Dabhade    ,410506,18.645159,73.92576
Ordnance Factory Dehu Road    ,412101,18.6838,73.7318
Osade          ,411025,18.379066,73.686254
Otur          ,412409,19.256897,73.986485
Ozar          ,410504,19.18825,73.961331
Pabal          ,412403,18.83083,74.052044
Pabe          ,412212,18.321069,73.66613
Padvi          ,412203,18.381081,74.393449
Pait          ,410505,18.878019,73.721306
Palasdeo          ,413132,18.23443,74.892472
Palu          ,410505,18.910998,73.67128
Panawadi          ,412301,18.270738,74.018303
Pandare          ,413110,18.139375,74.462164
Pandheshwar          ,412303,18.305785,74.251679
Pangare          ,412301,18.260898,74.05549
Pangari          ,412206,18.179207,73.71676
Panshet          ,412107,18.38389,73.603578
Pargaon          ,412203,18.560074,74.373309
Pargaon Memane        ,412104,18.358802,74.120326
Pargaon Tarfe Ala      ,410504,18.645159,73.92576
Pargaon Tarfe Avasari      ,412406,18.645159,73.92576
Pargaon Tarfe Khed      ,410512,18.930891,73.959494
Pargaon Tarfe Madh      ,412409,18.645159,73.92576
Parinche          ,412311,18.193717,74.084352
Parunde          ,410502,19.139371,73.840211
Parvati          ,411009,18.488743,73.847787
Parvati Gaon        ,411009,18.49731,73.851095
Parwadi          ,413130,18.298813,73.815439
Pasure          ,412206,18.18622,73.780704
Patas          ,412219,18.434386,74.461355
Paud          ,412108,18.524331,73.613882
Pawananagar          ,410406,18.675276,73.547634
P.C.N.T.          ,411044,18.653165,73.767663
Perne          ,412216,18.631389,74.062778
Peth          ,410512,18.930257,73.925165
Phulawade          ,410509,19.123113,73.75698
Phursungi          ,412308,18.474727,73.977819
Pimpalgaon Joga        ,412409,19.307579,73.922165
Pimpalgaon Mahalunge        ,410503,19.003287,73.958838
Pimpalgaon Tarfa Narayangaon      ,412401,19.13131,73.94186
Pimpalgaon Tarfe Chakan      ,410501,18.64807,73.959931
Pimpalgaon Tarfe Ghoda      ,412408,19.062873,73.829054
Pimpali          ,413102,18.130701,74.618815
Pimpalwandi          ,412412,19.177551,74.073198
Pimparkhed          ,410504,19.00683,74.146938
Pimple          ,412301,18.601452,73.802303
Pimple Gurav        ,411061,18.585982,73.812126
Pimpri          ,412303,18.327195,74.214998
Pimpri BK        ,410505,18.383642,74.418323
Pimpri BK        ,413103,18.383642,74.418323
Pimpri Colony        ,411017,18.492947,73.856792
Pimpri Pendhar        ,410504,19.222668,74.06308
Pimpri P F      ,411018,18.623082,73.80883
Pimpri Sandas        ,412216,18.609572,74.1284
Pimpri Waghire        ,411017,18.623232,73.802251
Pingori          ,412305,18.214954,74.090975
Pirangut          ,412115,18.507429,73.668889
Pisarve          ,412104,18.373768,74.193547
Pisavare          ,412206,18.139898,73.790917
Pokhari          ,410509,19.071378,73.691881
Pomgaon          ,412108,18.57892,73.4357
Punawale          ,411033,18.637202,73.745784
